INSTNM,OPEID6,CONTROL,MAIN,CIPDEF,CIPFIELD,CIPCODE,CREDLEV,EARN_COUNT_NWNE_HI_1YR,EARN_CNTOVER150_HI_1YR,EARN_COUNT_WNE_HI_1YR,EARN_MDN_HI_1YR,EARN_COUNT_NWNE_HI_2YR,EARN_CNTOVER150_HI_2YR,EARN_COUNT_WNE_HI_2YR,EARN_MDN_HI_2YR,EARN_COUNT_PELL_WNE_1YR,EARN_PELL_WNE_MDN_1YR,EARN_COUNT_NOPELL_WNE_1YR,EARN_NOPELL_WNE_MDN_1YR,EARN_COUNT_MALE_WNE_1YR,EARN_MALE_WNE_MDN_1YR,EARN_COUNT_NOMALE_WNE_1YR,EARN_NOMALE_WNE_MDN_1YR,EARN_COUNT_NE_3YR,EARN_NE_MDN_3YR,EARN_COUNT_WNE_3YR,EARN_CNTOVER150_3YR,EARN_COUNT_PELL_NE_3YR,EARN_PELL_NE_MDN_3YR,EARN_COUNT_NOPELL_NE_3YR,EARN_NOPELL_NE_MDN_3YR,EARN_COUNT_MALE_NE_3YR,EARN_MALE_NE_MDN_3YR,EARN_COUNT_NOMALE_NE_3YR,EARN_NOMALE_NE_MDN_3YR,EARN_COUNT_NWNE_1YR,EARN_COUNT_WNE_1YR,EARN_MDN_1YR,EARN_GT_THRESHOLD_1YR,EARN_COUNT_HIGH_CRED_1YR,EARN_IN_STATE_1YR,EARN_COUNT_NWNE_4YR,EARN_COUNT_WNE_4YR,EARN_MDN_4YR,EARN_GT_THRESHOLD_4YR,EARN_COUNT_PELL_WNE_4YR,EARN_PELL_WNE_MDN_4YR,EARN_COUNT_NOPELL_WNE_4YR,EARN_NOPELL_WNE_MDN_4YR,EARN_COUNT_MALE_WNE_4YR,EARN_MALE_WNE_MDN_4YR,EARN_COUNT_NOMALE_WNE_4YR,EARN_NOMALE_WNE_MDN_4YR,EARN_COUNT_HIGH_CRED_4YR,EARN_IN_STATE_4YR
Brigham Young University,3670,"Private, nonprofit",1,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.",16,1612,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,19,1901,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,19,1906,3,0.0,18.0,19.0,56859.0,0.0,23.0,24.0,63855.0,,,,,,,,,22.0,67537.0,21.0,21.0,21.0,67363.0,,,20.0,73858.0,,,0.0,,,,,,1.0,20.0,75769.0,,21.0,77768.0,,,19.0,85841.0,,,,
Brigham Young University,3670,"Private, nonprofit",1,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,19,1907,3,41.0,88.0,153.0,21303.0,36.0,83.0,145.0,20921.0,172.0,23551.0,,,16.0,36991.0,170.0,22216.0,176.0,9956.0,115.0,67.0,161.0,9221.0,,,,,166.0,8118.0,68.0,186.0,24348.0,66.0,,,56.0,124.0,24823.0,50.0,108.0,23798.0,16.0,32420.0,,,116.0,22322.0,17.0,74.0
Brigham Young University,3670,"Private, nonprofit",1,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,19,1999,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,23,2301,3,8.0,44.0,74.0,21635.0,11.0,73.0,102.0,28697.0,69.0,26255.0,,,25.0,27428.0,54.0,29688.0,108.0,27578.0,88.0,63.0,101.0,26837.0,,,25.0,38502.0,83.0,21407.0,9.0,80.0,28928.0,35.0,,,20.0,108.0,42838.0,66.0,99.0,44055.0,,,34.0,53110.0,73.0,33690.0,,58.0
Brigham Young University,3670,"Private, nonprofit",1,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",24,2401,3,1.0,,19.0,24143.0,0.0,6.0,11.0,25194.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,4.0,23.0,56030.0,,17.0,54914.0,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,BIOLOGICAL AND BIOMEDICAL SCIENCES.,26,2601,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,BIOLOGICAL AND BIOMEDICAL SCIENCES.,26,2602,3,4.0,20.0,28.0,34189.0,3.0,27.0,41.0,27822.0,24.0,34675.0,,,18.0,31859.0,,,28.0,23177.0,23.0,18.0,,,,,,,,,3.0,29.0,36723.0,,,,,,,,,,,,,,,,,
Brigham Young University,3670,"Private, nonprofit",1,BIOLOGICAL AND BIOMEDICAL SCIENCES.,26,2605,3,4.0,28.0,32.0,31269.0,3.0,18.0,27.0,21508.0,38.0,27168.0,,,33.0,25520.0,,,,,,,,,,,,,,,2.0,45.0,26806.0,16.0,,,2.0,,,,,,,,,,,,,
